airport_key,airport,airport_icao,latitude,longitude,timezone,city,country,continent
266,Kerang,YKER,-35.666668,143.91667,Australia/Melbourne,Kerang,Australia,Oceania
267,Karumba,YKMB,-17.456667,140.83194,Australia/Brisbane,Karumba,Australia,Oceania
268,Springvale,YSPV,-23.55,140.68333,Australia/Brisbane,Springvale,Australia,Oceania
269,Karratha,YPKA,-20.70826,116.77006,Australia/Perth,Karratha,Australia,Oceania
270,Tindal,YPTN,-14.4575,132.2714,Australia/Darwin,Katherine,Australia,Oceania
271,Kubin Island,YKUB,-10.233333,142.3,Australia/Brisbane,Kubin Island,Australia,Oceania
272,Kowanyama,YKOW,-15.4875,141.74834,Australia/Brisbane,Kowanyama,Australia,Oceania
273,Yalata Mission,YYTA,-31.483334,131.86667,Australia/Adelaide,Yalata Mission,Australia,Oceania
274,Balcanoona,YBLC,-30.516666,139.35,Australia/Adelaide,Balcanoona,Australia,Oceania
275,Lindeman Island,YLIN,-21.0,149.0,Australia/Lindeman,Lindeman Island,Australia,Oceania
276,Lord Howe Island,YLHI,-31.540808,159.07816,Australia/Lord_Howe,Lord Howe Island,Australia,Oceania
277,Learmonth,YPLM,-22.239883,114.09427,Australia/Perth,Learmonth,Australia,Oceania
278,Lake Evella,YLEV,-12.508333,135.8,Australia/Darwin,Lake Evella,Australia,Oceania
279,Leinster,YLST,-27.833332,120.61667,Australia/Perth,Leinster,Australia,Oceania
280,Leigh Creek,YLEC,-30.466667,138.41667,Australia/Adelaide,Leigh Creek,Australia,Oceania
